,modelId,layer,index,description,explanationModelName,typeName
232,gpt2-small,8-res_fs768-jb,228,legal terms and names related to lawsuits and cases,gpt-3.5-turbo,oai_token-act-pair
233,gpt2-small,8-res_fs768-jb,229,numbers and proper names,gpt-3.5-turbo,oai_token-act-pair
234,gpt2-small,8-res_fs768-jb,230,phrases related to job applications and career experiences,gpt-3.5-turbo,oai_token-act-pair
235,gpt2-small,8-res_fs768-jb,231,adjectives describing emotional or impactful concepts,gpt-3.5-turbo,oai_token-act-pair
236,gpt2-small,8-res_fs768-jb,232,numbers in a specific context or setting,gpt-3.5-turbo,oai_token-act-pair
237,gpt2-small,8-res_fs768-jb,233,specific technical terms related to software development and programming,gpt-3.5-turbo,oai_token-act-pair
238,gpt2-small,8-res_fs768-jb,234,information related to legal documents and regulations,gpt-3.5-turbo,oai_token-act-pair
239,gpt2-small,8-res_fs768-jb,235,negative statements or contradictions,gpt-3.5-turbo,oai_token-act-pair
240,gpt2-small,8-res_fs768-jb,236,political terms related to government and organizations,gpt-3.5-turbo,oai_token-act-pair
241,gpt2-small,8-res_fs768-jb,237,mentions of specific persons and their roles or actions,gpt-3.5-turbo,oai_token-act-pair
242,gpt2-small,8-res_fs768-jb,238,words related to renewable energy sources and energy efficient practices,gpt-3.5-turbo,oai_token-act-pair
243,gpt2-small,8-res_fs768-jb,239,imperative verbs followed by direct objects,gpt-3.5-turbo,oai_token-act-pair
244,gpt2-small,8-res_fs768-jb,240,"mentions related to television, television shows, and television personalities",gpt-3.5-turbo,oai_token-act-pair
245,gpt2-small,8-res_fs768-jb,241,phrases related to national and government issues,gpt-3.5-turbo,oai_token-act-pair
246,gpt2-small,8-res_fs768-jb,242," social issues and discussions around rights, work, and opportunities",gpt-3.5-turbo,oai_token-act-pair
247,gpt2-small,8-res_fs768-jb,243,"proper nouns related to various professions and roles, such as pastors, painters, smugglers, traders, chefs, artists, dealers, journalists, judges, and writers",gpt-3.5-turbo,oai_token-act-pair
248,gpt2-small,8-res_fs768-jb,244,"information related to business and technology companies like Amazon, Sony, Microsoft, and Nvidia, as well as their product launches, developments, and announcements",gpt-3.5-turbo,oai_token-act-pair
249,gpt2-small,8-res_fs768-jb,245,"words related to legal, political, and governmental topics",gpt-3.5-turbo,oai_token-act-pair
250,gpt2-small,8-res_fs768-jb,246,names or parts of names of computer software or systems,gpt-3.5-turbo,oai_token-act-pair
251,gpt2-small,8-res_fs768-jb,247,phrases related to falling,gpt-3.5-turbo,oai_token-act-pair
252,gpt2-small,8-res_fs768-jb,248,sequential events or steps in a process,gpt-3.5-turbo,oai_token-act-pair
253,gpt2-small,8-res_fs768-jb,249,"units of measurement, such as feet, centimeters, and kilometers",gpt-3.5-turbo,oai_token-act-pair
254,gpt2-small,8-res_fs768-jb,250,"instances of the word ""working"" followed by different context",gpt-3.5-turbo,oai_token-act-pair
255,gpt2-small,8-res_fs768-jb,251,"words related to crimes, shootings, and violence",gpt-3.5-turbo,oai_token-act-pair
256,gpt2-small,8-res_fs768-jb,252,"information related to financial transactions, deals, and amounts of money",gpt-3.5-turbo,oai_token-act-pair
257,gpt2-small,8-res_fs768-jb,253,"forms of emphasis, such as exclamation marks or capitalized words, which indicate strong emotions or stress",gpt-3.5-turbo,oai_token-act-pair
258,gpt2-small,8-res_fs768-jb,254,statements of regret or hypothetical scenarios in past tense,gpt-3.5-turbo,oai_token-act-pair
259,gpt2-small,8-res_fs768-jb,255,"names, terms, and phrases associated with chess and various languages",gpt-3.5-turbo,oai_token-act-pair
260,gpt2-small,8-res_fs768-jb,256,verbs related to explaining or categorizing,gpt-3.5-turbo,oai_token-act-pair
261,gpt2-small,8-res_fs768-jb,257,comparisons in terms of improvement or decline over time,gpt-3.5-turbo,oai_token-act-pair
262,gpt2-small,8-res_fs768-jb,258,phrases related to commerce and transactions,gpt-3.5-turbo,oai_token-act-pair
263,gpt2-small,8-res_fs768-jb,259,information related to definitions and explanations,gpt-3.5-turbo,oai_token-act-pair
264,gpt2-small,8-res_fs768-jb,260,phrases related to politics and news events,gpt-3.5-turbo,oai_token-act-pair
265,gpt2-small,8-res_fs768-jb,261,"numerical values and measurements indicating distance, temperature, or physical attributes",gpt-3.5-turbo,oai_token-act-pair
266,gpt2-small,8-res_fs768-jb,262,terms related to medical professions and procedures,gpt-3.5-turbo,oai_token-act-pair
267,gpt2-small,8-res_fs768-jb,263,phrases related to competition and performance evaluation,gpt-3.5-turbo,oai_token-act-pair
268,gpt2-small,8-res_fs768-jb,264,adverbs and adjectives that express doubt or certainty,gpt-3.5-turbo,oai_token-act-pair
269,gpt2-small,8-res_fs768-jb,265,statements about physical abuse,gpt-3.5-turbo,oai_token-act-pair
270,gpt2-small,8-res_fs768-jb,266,"information related to political and social issues, including crime statistics and legislative updates",gpt-3.5-turbo,oai_token-act-pair
271,gpt2-small,8-res_fs768-jb,267,descriptions of recent events and issues in various communities,gpt-3.5-turbo,oai_token-act-pair
272,gpt2-small,8-res_fs768-jb,268,words related to technical jargon and procedures in a formal context,gpt-3.5-turbo,oai_token-act-pair
273,gpt2-small,8-res_fs768-jb,269,"medical or health-related terms, especially those related to mental health or conditions requiring care and protection, along with terms related to societal issues and controversies",gpt-3.5-turbo,oai_token-act-pair
274,gpt2-small,8-res_fs768-jb,270,phrases related to governmental organizations and official reports,gpt-3.5-turbo,oai_token-act-pair
275,gpt2-small,8-res_fs768-jb,271,economic and political discussion related to blame assignment and social issues,gpt-3.5-turbo,oai_token-act-pair
276,gpt2-small,8-res_fs768-jb,272,"mentions of news, politics, events, and tech-related topics",gpt-3.5-turbo,oai_token-act-pair
277,gpt2-small,8-res_fs768-jb,273,words related to deadlines and time urgency,gpt-3.5-turbo,oai_token-act-pair
278,gpt2-small,8-res_fs768-jb,274,sentences that introduce or discuss different topics,gpt-3.5-turbo,oai_token-act-pair
279,gpt2-small,8-res_fs768-jb,275,descriptions or references to world records or superlatives,gpt-3.5-turbo,oai_token-act-pair
280,gpt2-small,8-res_fs768-jb,276,words related to negative emotions or strong opinions,gpt-3.5-turbo,oai_token-act-pair
281,gpt2-small,8-res_fs768-jb,277,phrases related to expressing personal opinions or perspectives,gpt-3.5-turbo,oai_token-act-pair
282,gpt2-small,8-res_fs768-jb,278,terms related to quantity,gpt-3.5-turbo,oai_token-act-pair
283,gpt2-small,8-res_fs768-jb,279,"names of political figures, government positions, and organizations",gpt-3.5-turbo,oai_token-act-pair
284,gpt2-small,8-res_fs768-jb,280,"actions, events, and processes related to conflict and resolution",gpt-3.5-turbo,oai_token-act-pair
285,gpt2-small,8-res_fs768-jb,281,verbs related to physical actions and movement,gpt-3.5-turbo,oai_token-act-pair
286,gpt2-small,8-res_fs768-jb,282,short timeframes and events that occur within them,gpt-3.5-turbo,oai_token-act-pair
287,gpt2-small,8-res_fs768-jb,283,scientific terms and concepts related to research and studies,gpt-3.5-turbo,oai_token-act-pair
288,gpt2-small,8-res_fs768-jb,284,references to actions that are being redone or repeated,gpt-3.5-turbo,oai_token-act-pair
289,gpt2-small,8-res_fs768-jb,285,mathematical equations and notation,gpt-3.5-turbo,oai_token-act-pair
290,gpt2-small,8-res_fs768-jb,286,"names and abbreviations, as well as words related to physical states of being or actions like ""sleep,"" ""suicide,"" and ""aggressiveness.""",gpt-3.5-turbo,oai_token-act-pair
291,gpt2-small,8-res_fs768-jb,287,words related to speed or fast movement,gpt-3.5-turbo,oai_token-act-pair
292,gpt2-small,8-res_fs768-jb,288,technical terms related to technology and weaponry,gpt-3.5-turbo,oai_token-act-pair
293,gpt2-small,8-res_fs768-jb,289,locations or institutions related to educational or legal matters,gpt-3.5-turbo,oai_token-act-pair
294,gpt2-small,8-res_fs768-jb,290, words related to political news and international relations,gpt-3.5-turbo,oai_token-act-pair
295,gpt2-small,8-res_fs768-jb,291,"questions starting with ""Why""",gpt-3.5-turbo,oai_token-act-pair
296,gpt2-small,8-res_fs768-jb,292,names and numbers,gpt-3.5-turbo,oai_token-act-pair
297,gpt2-small,8-res_fs768-jb,293,phrases related to delays or hindrances,gpt-3.5-turbo,oai_token-act-pair
298,gpt2-small,8-res_fs768-jb,294,mentions of specific sports teams,gpt-3.5-turbo,oai_token-act-pair
299,gpt2-small,8-res_fs768-jb,295,locations within a building related to events or conflicts,gpt-3.5-turbo,oai_token-act-pair
300,gpt2-small,8-res_fs768-jb,296,phrases related to technical specifications and features,gpt-3.5-turbo,oai_token-act-pair
301,gpt2-small,8-res_fs768-jb,297,"similes using the word ""like""",gpt-3.5-turbo,oai_token-act-pair
302,gpt2-small,8-res_fs768-jb,298,"verbs related to causing or forcing actions, often with negative consequences",gpt-3.5-turbo,oai_token-act-pair
303,gpt2-small,8-res_fs768-jb,299,"proper nouns and technical terms related to companies, locations, and products",gpt-3.5-turbo,oai_token-act-pair
304,gpt2-small,8-res_fs768-jb,300,technical terms and concepts related to software development and technology,gpt-3.5-turbo,oai_token-act-pair
305,gpt2-small,8-res_fs768-jb,301,phrases related to time and temporal concepts,gpt-3.5-turbo,oai_token-act-pair
306,gpt2-small,8-res_fs768-jb,302,details related to violent crimes and legal proceedings,gpt-3.5-turbo,oai_token-act-pair
307,gpt2-small,8-res_fs768-jb,303,phrases related to protective measures or precautions,gpt-3.5-turbo,oai_token-act-pair
308,gpt2-small,8-res_fs768-jb,304,content related to guides or step-by-step processes on keeping resolutions or making changes,gpt-3.5-turbo,oai_token-act-pair
309,gpt2-small,8-res_fs768-jb,305,steps or instructions,gpt-3.5-turbo,oai_token-act-pair
310,gpt2-small,8-res_fs768-jb,306,personal pronouns followed by a verb indicating action or belief,gpt-3.5-turbo,oai_token-act-pair
311,gpt2-small,8-res_fs768-jb,307,"information about events and incidents, such as accidents, political statements, and TV show renewals",gpt-3.5-turbo,oai_token-act-pair
312,gpt2-small,8-res_fs768-jb,308,"recipe instructions, particularly for cooking savory dishes",gpt-3.5-turbo,oai_token-act-pair
313,gpt2-small,8-res_fs768-jb,309, historical references and events,gpt-3.5-turbo,oai_token-act-pair
314,gpt2-small,8-res_fs768-jb,310,years expressed as numerical ranges,gpt-3.5-turbo,oai_token-act-pair
315,gpt2-small,8-res_fs768-jb,311,3D-related technology terms and numbers,gpt-3.5-turbo,oai_token-act-pair
316,gpt2-small,8-res_fs768-jb,312,"words related to coding, programming, and technology",gpt-3.5-turbo,oai_token-act-pair
317,gpt2-small,8-res_fs768-jb,313,"references to publications such as magazines, blogs, reports, and firms within textual contexts",gpt-3.5-turbo,oai_token-act-pair
318,gpt2-small,8-res_fs768-jb,314,"information related to items or objects, possibly focusing on craftsmanship or design details",gpt-3.5-turbo,oai_token-act-pair
319,gpt2-small,8-res_fs768-jb,315,mentions of current US politics and related events,gpt-3.5-turbo,oai_token-act-pair
320,gpt2-small,8-res_fs768-jb,316,phrases related to contentious or divisive topics in politics or society,gpt-3.5-turbo,oai_token-act-pair
321,gpt2-small,8-res_fs768-jb,317,words related to political and economic discussions,gpt-3.5-turbo,oai_token-act-pair
322,gpt2-small,8-res_fs768-jb,318,phrases related to time spent or invested in various activities or situations,gpt-3.5-turbo,oai_token-act-pair
323,gpt2-small,8-res_fs768-jb,319,phrases related to business and organizational positions,gpt-3.5-turbo,oai_token-act-pair
324,gpt2-small,8-res_fs768-jb,320,words related to motion or directional movement,gpt-3.5-turbo,oai_token-act-pair
325,gpt2-small,8-res_fs768-jb,321,"political terms and entities, particularly related to the Democratic Party",gpt-3.5-turbo,oai_token-act-pair
326,gpt2-small,8-res_fs768-jb,322,calls to action or requests for assistance,gpt-3.5-turbo,oai_token-act-pair
327,gpt2-small,8-res_fs768-jb,323,financial and economic terms and discussions,gpt-3.5-turbo,oai_token-act-pair
328,gpt2-small,8-res_fs768-jb,324,"references to protests and demonstrations, particularly related to social and political activism",gpt-3.5-turbo,oai_token-act-pair
329,gpt2-small,8-res_fs768-jb,325,times and sequences,gpt-3.5-turbo,oai_token-act-pair
330,gpt2-small,8-res_fs768-jb,326,numerical and measurement-related terms and concepts,gpt-3.5-turbo,oai_token-act-pair
331,gpt2-small,8-res_fs768-jb,327,religious terms and concepts,gpt-3.5-turbo,oai_token-act-pair
332,gpt2-small,8-res_fs768-jb,328,corporate information and contact details,gpt-3.5-turbo,oai_token-act-pair
333,gpt2-small,8-res_fs768-jb,329,"contractions combining ""while"" and ""it is"" or ""while"" and ""we were""",gpt-3.5-turbo,oai_token-act-pair
334,gpt2-small,8-res_fs768-jb,330,numeric values,gpt-3.5-turbo,oai_token-act-pair
335,gpt2-small,8-res_fs768-jb,331,phrases related to politics and government,gpt-3.5-turbo,oai_token-act-pair
336,gpt2-small,8-res_fs768-jb,332,statements or actions related to public figures or political events,gpt-3.5-turbo,oai_token-act-pair
337,gpt2-small,8-res_fs768-jb,333,political terms and names,gpt-3.5-turbo,oai_token-act-pair
338,gpt2-small,8-res_fs768-jb,334,religious references and beliefs,gpt-3.5-turbo,oai_token-act-pair
339,gpt2-small,8-res_fs768-jb,335,names of individuals involved in legal disputes or conflict situations,gpt-3.5-turbo,oai_token-act-pair
340,gpt2-small,8-res_fs768-jb,336,phrases related to actions and activities over a period of time,gpt-3.5-turbo,oai_token-act-pair
341,gpt2-small,8-res_fs768-jb,337,"technical and academic terms, such as specific subject areas, institutions, and academic titles",gpt-3.5-turbo,oai_token-act-pair
342,gpt2-small,8-res_fs768-jb,338,proper nouns and technical terms related to finance and legal matters,gpt-3.5-turbo,oai_token-act-pair
343,gpt2-small,8-res_fs768-jb,339,terms related to software installation and activation processes,gpt-3.5-turbo,oai_token-act-pair
344,gpt2-small,8-res_fs768-jb,340,"information related to a baseball game, including player actions and scoring",gpt-3.5-turbo,oai_token-act-pair
345,gpt2-small,8-res_fs768-jb,341,words related to technical processes and methodologies,gpt-3.5-turbo,oai_token-act-pair
346,gpt2-small,8-res_fs768-jb,342,"information related to storytelling, movies, and specific events",gpt-3.5-turbo,oai_token-act-pair
347,gpt2-small,8-res_fs768-jb,343,language related to government policies and regulations,gpt-3.5-turbo,oai_token-act-pair
348,gpt2-small,8-res_fs768-jb,344,"verbs related to research, exploration, feelings, and financial support",gpt-3.5-turbo,oai_token-act-pair
349,gpt2-small,8-res_fs768-jb,345,phrases related to accusations or responsibility,gpt-3.5-turbo,oai_token-act-pair
350,gpt2-small,8-res_fs768-jb,346, words related to technology products and features,gpt-3.5-turbo,oai_token-act-pair
351,gpt2-small,8-res_fs768-jb,347,computer programming terms related to data manipulation and analysis,gpt-3.5-turbo,oai_token-act-pair
352,gpt2-small,8-res_fs768-jb,348,information related to sports trades and team strategies,gpt-3.5-turbo,oai_token-act-pair
353,gpt2-small,8-res_fs768-jb,349,phrases related to technology terms and agreements,gpt-3.5-turbo,oai_token-act-pair
354,gpt2-small,8-res_fs768-jb,350,references to detailed descriptions and discussions around various topics,gpt-3.5-turbo,oai_token-act-pair
355,gpt2-small,8-res_fs768-jb,351,specific numbers related to statistics or measurements,gpt-3.5-turbo,oai_token-act-pair
356,gpt2-small,8-res_fs768-jb,352,descriptions of fatal incidents or accidents,gpt-3.5-turbo,oai_token-act-pair
357,gpt2-small,8-res_fs768-jb,353,key points or important information within a text,gpt-3.5-turbo,oai_token-act-pair
358,gpt2-small,8-res_fs768-jb,354,references to political events and government actions,gpt-3.5-turbo,oai_token-act-pair
359,gpt2-small,8-res_fs768-jb,355,questions related to self-reflection and self-doubt,gpt-3.5-turbo,oai_token-act-pair
360,gpt2-small,8-res_fs768-jb,356,names and titles of individuals,gpt-3.5-turbo,oai_token-act-pair
361,gpt2-small,8-res_fs768-jb,357,"NFL-related information - such as player names, team actions, contracts, and game outcomes",gpt-3.5-turbo,oai_token-act-pair
362,gpt2-small,8-res_fs768-jb,358,"the word ""as"" at the start of sentences",gpt-3.5-turbo,oai_token-act-pair
363,gpt2-small,8-res_fs768-jb,359,"phrases related to large scale entities or concepts, particularly focusing on the term ""big.""",gpt-3.5-turbo,oai_token-act-pair
364,gpt2-small,8-res_fs768-jb,360,"information related to conferences, exhibitions, and workshops",gpt-3.5-turbo,oai_token-act-pair
365,gpt2-small,8-res_fs768-jb,361,words related to political movements and civil rights activism,gpt-3.5-turbo,oai_token-act-pair
366,gpt2-small,8-res_fs768-jb,362,company names and financial information,gpt-3.5-turbo,oai_token-act-pair
367,gpt2-small,8-res_fs768-jb,363,references to business activities and trade relations,gpt-3.5-turbo,oai_token-act-pair
368,gpt2-small,8-res_fs768-jb,364,terms related to legal actions and disputes,gpt-3.5-turbo,oai_token-act-pair
369,gpt2-small,8-res_fs768-jb,365,"terms related to reports or analyses of diverse subjects, potentially aiming at identification or assessment",gpt-3.5-turbo,oai_token-act-pair
370,gpt2-small,8-res_fs768-jb,366,references to specific dates or historical events,gpt-3.5-turbo,oai_token-act-pair
371,gpt2-small,8-res_fs768-jb,367,"mentions of specific items being painted, such as objects and buildings",gpt-3.5-turbo,oai_token-act-pair
372,gpt2-small,8-res_fs768-jb,368,"instances related to self-reflection, personal experience, and self-identity",gpt-3.5-turbo,oai_token-act-pair
373,gpt2-small,8-res_fs768-jb,369,phrases related to state institutions and processes,gpt-3.5-turbo,oai_token-act-pair
374,gpt2-small,8-res_fs768-jb,370,"animals, particularly tigers, and incidents involving them like attacks or encounters",gpt-3.5-turbo,oai_token-act-pair
375,gpt2-small,8-res_fs768-jb,371,"discussion of legal actions, investigations, and consequences",gpt-3.5-turbo,oai_token-act-pair
376,gpt2-small,8-res_fs768-jb,372,"mentions of geographical locations, particularly cities and universities, especially in the context of news articles",gpt-3.5-turbo,oai_token-act-pair
377,gpt2-small,8-res_fs768-jb,373,sentences related to medical research and health conditions,gpt-3.5-turbo,oai_token-act-pair
378,gpt2-small,8-res_fs768-jb,374,"news or journalistic content, including information about interviews, sports events, political developments, legal matters, and technology releases",gpt-3.5-turbo,oai_token-act-pair
379,gpt2-small,8-res_fs768-jb,375,situations where choices or decisions need to be made,gpt-3.5-turbo,oai_token-act-pair
380,gpt2-small,8-res_fs768-jb,376,"technical terms related to various products and services, including names of items in categories like household cleaning items, softwares, and websites",gpt-3.5-turbo,oai_token-act-pair
381,gpt2-small,8-res_fs768-jb,377, mentions of legal terms and regulations,gpt-3.5-turbo,oai_token-act-pair
382,gpt2-small,8-res_fs768-jb,378,details or prompts related to newsletter sign-ups,gpt-3.5-turbo,oai_token-act-pair
383,gpt2-small,8-res_fs768-jb,379,"phrases related to detailed information, releases, and summaries of various media content such as articles, episodes, and events",gpt-3.5-turbo,oai_token-act-pair
384,gpt2-small,8-res_fs768-jb,380,"numerical measurements such as scores, statistics, or other quantifiable data",gpt-3.5-turbo,oai_token-act-pair
385,gpt2-small,8-res_fs768-jb,381,phrases related to examining and discussing the policies and practices of a company,gpt-3.5-turbo,oai_token-act-pair
386,gpt2-small,8-res_fs768-jb,382,terms related to public affairs and policies,gpt-3.5-turbo,oai_token-act-pair
387,gpt2-small,8-res_fs768-jb,383,technical terms and descriptions related to web development or online content,gpt-3.5-turbo,oai_token-act-pair
388,gpt2-small,8-res_fs768-jb,384,economic and financial terms and figures,gpt-3.5-turbo,oai_token-act-pair
389,gpt2-small,8-res_fs768-jb,385,actions or events involving public disclosure or communication,gpt-3.5-turbo,oai_token-act-pair
390,gpt2-small,8-res_fs768-jb,386,ingredients and cooking instructions in recipe-like text,gpt-3.5-turbo,oai_token-act-pair
391,gpt2-small,8-res_fs768-jb,387,terms related to reality,gpt-3.5-turbo,oai_token-act-pair
392,gpt2-small,8-res_fs768-jb,388,"phrases related to human aspects, such as human rights, health, and relationships",gpt-3.5-turbo,oai_token-act-pair
393,gpt2-small,8-res_fs768-jb,390,mentions of statistics and comparisons between countries or regions,gpt-3.5-turbo,oai_token-act-pair
394,gpt2-small,8-res_fs768-jb,391,"references to specific entities, possibly related to finance and medical practices",gpt-3.5-turbo,oai_token-act-pair
395,gpt2-small,8-res_fs768-jb,392,references to criminal cases and legal proceedings,gpt-3.5-turbo,oai_token-act-pair
396,gpt2-small,8-res_fs768-jb,393,"references to military, political, governmental, and structural organizations or individuals",gpt-3.5-turbo,oai_token-act-pair
397,gpt2-small,8-res_fs768-jb,394,phrases related to meeting requirements or conditions,gpt-3.5-turbo,oai_token-act-pair
398,gpt2-small,8-res_fs768-jb,395,"phrases related to personal experiences, events, or opinions",gpt-3.5-turbo,oai_token-act-pair
399,gpt2-small,8-res_fs768-jb,396,phrases related to political and economic topics,gpt-3.5-turbo,oai_token-act-pair
400,gpt2-small,8-res_fs768-jb,397,references to controversies and notable events in news and politics,gpt-3.5-turbo,oai_token-act-pair
401,gpt2-small,8-res_fs768-jb,398,numerical values or measurements in a text,gpt-3.5-turbo,oai_token-act-pair
402,gpt2-small,8-res_fs768-jb,399,instances in text that involve performing an action or deed,gpt-3.5-turbo,oai_token-act-pair
403,gpt2-small,8-res_fs768-jb,400,descriptions related to political figures and government events,gpt-3.5-turbo,oai_token-act-pair
404,gpt2-small,8-res_fs768-jb,401,phrases related to taking action or making decisions,gpt-3.5-turbo,oai_token-act-pair
405,gpt2-small,8-res_fs768-jb,402,phrases related to personal development and self-improvement,gpt-3.5-turbo,oai_token-act-pair
406,gpt2-small,8-res_fs768-jb,403,phrases related to controversial topics and opinions,gpt-3.5-turbo,oai_token-act-pair
407,gpt2-small,8-res_fs768-jb,404,"mentions of historical, religious, and technical terms",gpt-3.5-turbo,oai_token-act-pair
408,gpt2-small,8-res_fs768-jb,405,instances where something is discovered or located,gpt-3.5-turbo,oai_token-act-pair
409,gpt2-small,8-res_fs768-jb,406,"terms related to healthcare, private services, and health policies",gpt-3.5-turbo,oai_token-act-pair
410,gpt2-small,8-res_fs768-jb,407,keywords related to power sources and energy infrastructure,gpt-3.5-turbo,oai_token-act-pair
411,gpt2-small,8-res_fs768-jb,408,"mentions of medical emergencies, medical conditions, and healthcare-related situations",gpt-3.5-turbo,oai_token-act-pair
412,gpt2-small,8-res_fs768-jb,409,dialogue interactions between characters,gpt-3.5-turbo,oai_token-act-pair
413,gpt2-small,8-res_fs768-jb,410,information related to political events and government actions,gpt-3.5-turbo,oai_token-act-pair
414,gpt2-small,8-res_fs768-jb,411, words related to government programs or policies,gpt-3.5-turbo,oai_token-act-pair
415,gpt2-small,8-res_fs768-jb,412,descriptions of events happening or anticipated,gpt-3.5-turbo,oai_token-act-pair
416,gpt2-small,8-res_fs768-jb,413,phrases related to legal actions or criminal activities,gpt-3.5-turbo,oai_token-act-pair
417,gpt2-small,8-res_fs768-jb,414,phrases related to sharing information or spreading knowledge,gpt-3.5-turbo,oai_token-act-pair
418,gpt2-small,8-res_fs768-jb,415,words related to opposition or conflict,gpt-3.5-turbo,oai_token-act-pair
419,gpt2-small,8-res_fs768-jb,416,"mentions of legal or political terms related to regulations, human rights, and government activities",gpt-3.5-turbo,oai_token-act-pair
420,gpt2-small,8-res_fs768-jb,417,"statements related to partnerships, collaborations, and financial transactions",gpt-3.5-turbo,oai_token-act-pair
421,gpt2-small,8-res_fs768-jb,418,addresses and locations,gpt-3.5-turbo,oai_token-act-pair
422,gpt2-small,8-res_fs768-jb,419,phrases related to conspiracy theories and extremist groups,gpt-3.5-turbo,oai_token-act-pair
423,gpt2-small,8-res_fs768-jb,420,descriptive words and phrases related to performance and behavior,gpt-3.5-turbo,oai_token-act-pair
424,gpt2-small,8-res_fs768-jb,421,"information related to companies, products, and statistics",gpt-3.5-turbo,oai_token-act-pair
425,gpt2-small,8-res_fs768-jb,422,information related to health and medical procedures,gpt-3.5-turbo,oai_token-act-pair
426,gpt2-small,8-res_fs768-jb,423,"information related to significant events or operations, particularly focusing on historical events, economic activities, and record-breaking achievements",gpt-3.5-turbo,oai_token-act-pair
427,gpt2-small,8-res_fs768-jb,424,phrases related to overcoming challenges and perseverance,gpt-3.5-turbo,oai_token-act-pair
428,gpt2-small,8-res_fs768-jb,425,titles of publications or works,gpt-3.5-turbo,oai_token-act-pair
429,gpt2-small,8-res_fs768-jb,426,keywords related to goals and aims,gpt-3.5-turbo,oai_token-act-pair
430,gpt2-small,8-res_fs768-jb,427,"elements related to physical appearance and features of a character, such as eye color, facial hair, skin complexion, and body proportions",gpt-3.5-turbo,oai_token-act-pair
431,gpt2-small,8-res_fs768-jb,428,references to early time periods or beginnings,gpt-3.5-turbo,oai_token-act-pair
432,gpt2-small,8-res_fs768-jb,429,descriptions of cold weather and its effects on people and the environment,gpt-3.5-turbo,oai_token-act-pair
433,gpt2-small,8-res_fs768-jb,430,legal and policy-related terms or discussions,gpt-3.5-turbo,oai_token-act-pair
434,gpt2-small,8-res_fs768-jb,431,phrases related to training or education,gpt-3.5-turbo,oai_token-act-pair
435,gpt2-small,8-res_fs768-jb,432,email addresses and social media usernames,gpt-3.5-turbo,oai_token-act-pair
436,gpt2-small,8-res_fs768-jb,433,"the word ""Before"" at the beginning of text segments",gpt-3.5-turbo,oai_token-act-pair
437,gpt2-small,8-res_fs768-jb,434,mentions of criminal records and legal situations,gpt-3.5-turbo,oai_token-act-pair
438,gpt2-small,8-res_fs768-jb,435, phrases related to transformation or change,gpt-3.5-turbo,oai_token-act-pair
439,gpt2-small,8-res_fs768-jb,436," information related to statistics and numbers, such as averages, percentages, and financial figures",gpt-3.5-turbo,oai_token-act-pair
440,gpt2-small,8-res_fs768-jb,437,"phrases related to environmental and agricultural topics, such as carbon emissions, land use, conservation, and climate change impacts",gpt-3.5-turbo,oai_token-act-pair
441,gpt2-small,8-res_fs768-jb,438,descriptions of various locations and events,gpt-3.5-turbo,oai_token-act-pair
442,gpt2-small,8-res_fs768-jb,439,mentions of people's names,gpt-3.5-turbo,oai_token-act-pair
443,gpt2-small,8-res_fs768-jb,440,lines of code and programming concepts related to functional programming and data structures,gpt-3.5-turbo,oai_token-act-pair
444,gpt2-small,8-res_fs768-jb,441,"terms related to systems, policies, and guidelines",gpt-3.5-turbo,oai_token-act-pair
445,gpt2-small,8-res_fs768-jb,442,scientific and research-related terms,gpt-3.5-turbo,oai_token-act-pair
446,gpt2-small,8-res_fs768-jb,443,terms related to future possibilities or potentials,gpt-3.5-turbo,oai_token-act-pair
447,gpt2-small,8-res_fs768-jb,444,dates expressed in years,gpt-3.5-turbo,oai_token-act-pair
448,gpt2-small,8-res_fs768-jb,445,"information about notable people, including their biographical details and accomplishments",gpt-3.5-turbo,oai_token-act-pair
449,gpt2-small,8-res_fs768-jb,446,"characters' names, titles, and place names from a specific movie or series",gpt-3.5-turbo,oai_token-act-pair
450,gpt2-small,8-res_fs768-jb,447,"adjectives and phrases related to characteristics and behaviors, such as optimism, elegance, and relentlessness",gpt-3.5-turbo,oai_token-act-pair
451,gpt2-small,8-res_fs768-jb,448,recommendations or advice related to health and well-being,gpt-3.5-turbo,oai_token-act-pair
452,gpt2-small,8-res_fs768-jb,449,mentions of government actions or discussions related to government responses,gpt-3.5-turbo,oai_token-act-pair
453,gpt2-small,8-res_fs768-jb,450,phrases related to making or receiving phone calls,gpt-3.5-turbo,oai_token-act-pair
454,gpt2-small,8-res_fs768-jb,451,topics related to politics and governmental issues,gpt-3.5-turbo,oai_token-act-pair
455,gpt2-small,8-res_fs768-jb,452,threatening language and confrontational interactions,gpt-3.5-turbo,oai_token-act-pair
456,gpt2-small,8-res_fs768-jb,453, mentions of specific days of the week and financial terms,gpt-3.5-turbo,oai_token-act-pair
457,gpt2-small,8-res_fs768-jb,454,"lines or phrases indicating a transition, evolution, or change in a process or situation",gpt-3.5-turbo,oai_token-act-pair
458,gpt2-small,8-res_fs768-jb,455,"long, thoughtful statements or discussions on various topics",gpt-3.5-turbo,oai_token-act-pair
459,gpt2-small,8-res_fs768-jb,456,phrases related to collaborations or agreements involving multiple parties,gpt-3.5-turbo,oai_token-act-pair
460,gpt2-small,8-res_fs768-jb,457,phrases related to dedication and loyalty,gpt-3.5-turbo,oai_token-act-pair
